Table 1 -: Water Quality of River Beas (2020),,,,,,,,,,,,,,,,,,,,
Station code,Name of the Monitoring Location,State Name,Temperature (0 C),,Dissolved Oxygen (mg/ L),,pH,,Conductivity (µmho/ cm),,"Bio-chemical Oxygen Demand
(mg/ L)",,Nitrate (mg/ L),,Fecal Coliform (MPN/ 100 mL),,Total Coliform (MPN/ 100 mL),,Fecal Streptococci (MPN/ 100mL),
"Primary Water Quality Criteria (PWQC) notified by MoEF & CC under E (P) Rules, 1986",,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,"< 2500 MPN
/ 100 mL",,,,"< 500 MPN
/ 100 mL",
,,,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX
1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,3,13,8.7,11.5,7.5,8.1,61,119,BDL,BDL,BDL,0.66,11,58,32,280,2,2
4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,3,12,8,10.6,6.5,8.2,47,94,BDL,1,BDL,1.12,26,94,170,350,2,2
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,3,13,8.5,11.4,6.5,8.2,59,845,BDL,1,BDL,0.84,2,58,12,240,2,2
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,1,13,8.5,10.8,6.7,8,66,720,BDL,1,BDL,0.81,21,84,110,350,2,2
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,4,18,8.5,10.6,7.2,8,57,920,BDL,1,BDL,0.7,23,120,140,430,2,2
4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,4,20,8.5,10.2,7.3,7.9,60,139,BDL,1,BDL,1.16,32,220,130,920,2,2
1002,BEAS AT D/S KULU,HIMACHAL PRADESH,4,18,8.5,10,7.4,7.9,65,156,BDL,1,BDL,0.94,17,150,150,540,2,2
1003,BEAS AT D/S AUT,HIMACHAL PRADESH,5,12,8.4,9.9,7.1,7.8,51,141,BDL,1,BDL,1.19,21,94,94,350,2,2
1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,17,23,7.6,10.5,7.1,8,62,153,BDL,1,BDL,0.81,22,49,94,220,2,2
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,17,22,8.4,10.3,7.6,8,81,147,BDL,1,BDL,0.81,23,79,94,350,2,2
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,14,24,8.1,9.7,7.4,8.5,84,205,BDL,1,BDL,0.51,23,79,110,350,2,2
1550,BEAS U/S MANDI,HIMACHAL PRADESH,17,22,8.3,9.9,7.1,8.2,71,176,BDL,1,BDL,0.95,21,49,94,170,2,2
1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9,23,8.5,10.3,7.3,8.6,62,1582,BDL,1.2,BDL,1.48,13,350,220,1600,2,4
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,11,24,8.5,9.2,7.7,8.2,112,378,BDL,1,BDL,1.35,2,4,21,49,2,2
1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,12,32,8.7,9.4,7.5,8.2,148,347,BDL,1,BDL,2.34,2,4,21,48,2,2
3855,"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,12,26,8,9.4,7.5,8.2,116,393,BDL,1,BDL,1.23,2,4,26,40,2,2
Station code,Name of the Monitoring Location,State Name,Temperature (0 C),,Dissolved Oxygen (mg/ L),,pH,,Conductivity (µmho/ cm),,"Bio-chemical Oxygen Demand
(mg/ L)",,Nitrate (mg/ L),,Fecal Coliform (MPN/ 100 mL),,Total Coliform (MPN/ 100 mL),,Fecal Streptococci (MPN/ 100mL),
"Primary Water Quality Criteria (PWQC) notified by MoEF & CC under E (P) Rules, 1986",,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,"< 2500 MPN
/ 100 mL",,,,"< 500 MPN
/ 100 mL",
,,,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX
1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,11.5,27.5,5.2,9.2,6.8,8,172,309,BDL,1,BDL,1.16,2,2,31,79,2,2
1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,13,27,8.6,9.3,7.6,8.1,135,362,BDL,1,BDL,1.59,2,2,21,58,2,2
4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.2,26,8.2,9.8,7.1,8.2,151,364,BDL,1,BDL,1.32,2,2,23,47,2,2
4436,RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,12.1,26,8.1,9.7,7.6,8.5,157,478,BDL,1,BDL,1.5,2,2,26,79,2,2
4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,7.6,28,8.2,9.9,7.3,8.3,199,587,BDL,1,BDL,0.97,2,2,22,48,2,2
4438,RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,10,29,7.8,9.9,7.5,8.3,163,336,BDL,1,0.3,1.35,2,4,31,58,2,2
4443,RIVER BEAS AT RAISON,HIMACHAL PRADESH,3,13,8.5,11.5,7.2,8,52,136,BDL,1,BDL,0.75,31,70,170,280,2,2
30083,BEAS AT TALWARA (PONG DAM),INTER-STATE,23,23,9.2,9.2,8.1,8.1,194,194,1,1,BDL,1.66,2,2,31,31,-,-
30084,"BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",INTER-STATE,33,33,8.1,8.1,7.2,7.2,244,244,1,1,BDL,1.4,92,92,220,220,-,-
1693,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,8,36,6.9,7.9,7.5,8.1,160,262,1,1.4,BDL,0.7,17,68,84,170,-,-
1694,"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,10,36,6.6,8,7.4,7.9,219,394,1,1.4,0.5,0.8,20,68,70,250,-,-
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,9,36,7.2,8.1,7.5,8.1,216,380,1,1.5,0.4,0.8,31,170,84,390,-,-
1695,"BEAS D/S PATHANKOT, PUNJAB",PUNJAB,10,35,6.8,7.8,7.4,8.1,232,390,1,1.7,0.4,0.9,58,130,170,490,-,-
1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,16.5,32.4,6.1,7.9,7.6,8,218,365,1,1.6,0.4,0.9,78,210,330,490,-,-
